epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.4042,1.44447,4.78656,0.01391,0,0,0,0,0,0,0,0.0003,0.0003,0.0003
2,198.441,1.38525,4.21898,0.01345,0,0,0,0,0,0,0,0.000597922,0.000597922,0.000597922
3,296.257,1.37502,3.8603,0.01357,0,0,0,0,0,0,0,0.000883568,0.000883568,0.000883568
4,393.04,1.44531,3.37987,0.01397,0,0,0,0,0,0,0,0.0009406,0.0009406,0.0009406
5,494.41,1.48412,3.06309,0.01413,0,0,0,0,0,0,0,0.0009208,0.0009208,0.0009208
6,591.626,1.42771,2.85289,0.01396,0,0,0,0,0,0,0,0.000901,0.000901,0.000901
7,689.986,1.39573,2.7776,0.01432,0,0,0,0,0,0,0,0.0008812,0.0008812,0.0008812
8,787.516,1.46659,2.53601,0.01349,0,0,0,0,0,0,0,0.0008614,0.0008614,0.0008614
9,885.14,1.4517,2.36407,0.01325,0,0,0,0,0,0,0,0.0008416,0.0008416,0.0008416
10,981.095,1.4037,2.32579,0.01467,0,0,0,0,0,0,0,0.0008218,0.0008218,0.0008218
11,1079.16,1.40758,2.09054,0.01293,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
12,1180.88,1.39855,2.00945,0.01269,0,0,0,0,0,0,0,0.0007822,0.0007822,0.0007822
13,1278.65,1.37175,2.02154,0.013,0,0,0,0,0,0,0,0.0007624,0.0007624,0.0007624
14,1379.47,1.44623,1.90236,0.01361,0,0,0,0,0,0,0,0.0007426,0.0007426,0.0007426
15,1478.22,1.37665,1.80769,0.01347,0,0,0,0,0,0,0,0.0007228,0.0007228,0.0007228
16,1576.03,1.38562,1.78943,0.01338,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
17,1674.66,1.41368,1.70376,0.013,0,0,0,0,0,0,0,0.0006832,0.0006832,0.0006832
18,1773.14,1.38976,1.69772,0.01374,0,0,0,0,0,0,0,0.0006634,0.0006634,0.0006634
19,1872.18,1.37553,1.59396,0.01375,0,0,0,0,0,0,0,0.0006436,0.0006436,0.0006436
20,1969.43,1.3084,1.56701,0.01286,0,0,0,0,0,0,0,0.0006238,0.0006238,0.0006238
21,2070.92,1.37922,1.55877,0.01243,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
22,2169.18,1.36195,1.43793,0.01254,0,0,0,0,0,0,0,0.0005842,0.0005842,0.0005842
23,2266.88,1.32489,1.40296,0.01309,0,0,0,0,0,0,0,0.0005644,0.0005644,0.0005644
24,2363.8,1.35431,1.38878,0.01293,0,0,0,0,0,0,0,0.0005446,0.0005446,0.0005446
25,2463.25,1.35419,1.38964,0.01277,0,0,0,0,0,0,0,0.0005248,0.0005248,0.0005248
